,,,,,,,,,
,,,,,,,,,
卡片名稱 (編號),建議 數量,發球,攔網,接球,托球,攻擊,此牌組中的核心原則/定位,核心標記,替代選項/混編推薦與解釋
影山 飛雄 (HV-P01-006 頂),4,1,1,1,1,2,[連段核心/檢索] 支付 2 Guts 檢索 日向或《開放式進攻》，並為日向攻擊 +2。,不可替換 (核心),無直接替代品。任何替代卡都無法提供如此高效的檢索和爆發輔助。
日向 翔陽 (HV-P01-003 S),4,1,2,2,0,2,[連段核心/限制] 搭配影山打出高爆發，並在下回合限制對手最多 2 名攔網。,不可替換 (核心),備選：日向 翔陽 (頂)。這張卡是純粹的 5 點高傷害終結者，且能限制對手登場基礎接球 6 點以上的角色。
月島 螢 (HV-P01-008 S),3,1,2,2,0,2,[控制核心/防反] 支付 2 Guts，若攔網成功觸發 [銅牆鐵壁(6)] (6點 OP)，有山口在場時攔網 +2。,不可替換 (核心),混編推薦： 音駒 - 黑尾 鐵朗 (HV-D02-002)。這張卡支付 1 Guts 即可發動 [ドシャット(5)]。但其 [ドシャット(5)] (5點 OP) 爆發力略低於月島的 6 點。
山口 忠 (HV-P01-010 S),3,2,2,0,0,3,[控制核心/干擾] 發球登場，成功發球後在下回合削弱對手托球點數 -2。是月島連攜的關鍵。,不可替換 (核心),無直接替代品。其「發球干擾 + 月島連攜回收」的功能性無可取代。
西谷 夕 (HV-P01-011 R/RP),2,-,-,6,0,0,[最高 DP 防線] 基礎 6 點接球，是搭配《拼命向前衝》 (HV-P01-077) 的最佳人選。,可替換 (防線),混編推薦： 梟谷 - 小見 春樹 (HV-P01-050 N)。同樣是基礎 6 點接球的白板卡，可提供高穩定性的防線，不消耗 Guts 資源。
澤村 大地 (HV-P01-014 R/RP),3,1,3,5,0,0,[穩定 DP 基底] 基礎 5 點接球。穩定的 Guts 來源。,可替換 (防線),混編推薦： 音駒 - 夜久 衛輔 (HV-D02-003)。基礎 5 點接球，但可棄 1 手牌將接球點數提升至 7 點。在需要極限防守且手牌資源許可時，比澤村更靈活。
田中 龍之介 (HV-P01-012 N),4,5,2,2,0,3,[Guts/發球備案] 5 點發球。作為主要的 Guts 來源和備用攻擊手。,可替換 (Guts),混編推薦： 青葉城西 - 京谷 賢太郎 (HV-P01-042)。同樣擁有 5 點發球，且有 3 點攻擊力和 4 點接球，數值更優秀，可用於填充卡位。
菅原 孝支 (HV-P01-015 N),4,1,0,2,1,2,[Guts/托球備案] 支付 2 Guts 抽 1 卡，托球 +1。是 Guts 不足時的托球備案。,可替換 (Guts),備選： 預組中的 影山 飛雄 (HV-D01-002)。支付 2 Guts 讓托球點數變為 3 點，能提供更高進攻點數的基礎。
東峰 旭 (HV-P01-016 N),3,3,0,1,0,3,[Guts/攻擊備案] 基礎攻擊 3 點，是 Guts 來源和備用攻擊手。,可替換 (Guts),混編推薦： 音駒 - 山本 猛虎 (HV-D02-006)。擁有 5 點高額發球和 3 點攻擊力，作為發球/攻擊火力來源更加強大。
日向 翔陽 (HV-PR-001 P),1,3,1,3,0,2,[彈性輔助/備案] 重疊登場時，可強化 攻擊至 3 點 或 接球至 4 點。,可替換 (彈性),混編推薦： 梟谷 - 木葉 秋紀 (HV-P01-047 R)。擁有 5 點接球
影山 飛雄 (HV-PR-002 P),1,2,1,1,1,1,[彈性輔助/備案] 重疊登場時，可強化 托球至 2 點，作為低 Guts 消耗的托球備案。,可替換 (彈性),混編推薦： 青葉城西 - 及川 徹 (HV-PR-007 P)。這張卡擁有 2 點托球和 4 點發球，是穩定的主要托球手。
卡片名稱 (編號),建議 數量,可用階段,,,,,此牌組中的核心原則/定位,核心標記,替代選項/混編推薦與解釋
開放式進攻 (HV-P01-078 S),4,攻擊,,,,,[核心連段/回收引擎] 抽 2 棄 1，為連段中的日向 +1 攻擊，並能從棄牌區復活日向。,不可替換 (核心),備選： 預組中的 《ブロード攻撃》 (HV-D01-012)。它也能抽 1 卡並 +1 攻擊，且能限制對手攔網人數。但缺乏「復活日向」的續航功能。
我可沒有 1mm... (HV-P01-079 N),3,攔網,,,,,[防反連攜/控制] 強化攔網 +1，若對象為月島，則回收山口，並在下回合弱化對手接球 -2。,不可替換 (核心),無替代品。這張卡是唯一能夠回收山口並同時施加接球減益的卡片。
拼命向前衝 (HV-P01-077 N),1,接球,,,,,[防守強化/抽牌] 強化烏野接球 +2，若對象為西谷夕，則額外抽 1 卡。,可替換 (防守),備選： 預組中的 《バレーは!!! 常に上を向くスポーツだ》 (HV-D01-011)。這張卡能抽 1 卡並為角色 +1 或 +2 接球點數。適用性更廣。
,40,,,,,,,,
